id;id_no;rev_bis;name_en;name_fr;short_description_en;short_description_fr;justification_en;justification_fr;date_inscribed;secondary_dates;danger;date_end;danger_list;longitude;latitude;area_hectares;C1;C2;C3;C4;C5;C6;N7;N8;N9;N10;criteria_txt;category;category_short;states_name_en;states_name_fr;continent_name_en;continent_name_fr;iso_code;udnp_code;transboundary;coordonnees;multiple;id_multiple;name_multiple
24;21;;"Ancient City of Aleppo";"Ancienne ville d'Alep";"<p>Located at the crossroads of several trade routes from the 2nd millennium B.C., Aleppo was ruled successively by the Hittites, Assyrians, Arabs, Mongols, Mamelukes and Ottomans. The 13th-century citadel, 12th-century Great Mosque and various 17th-century madrasas, palaces, caravanserais and hammams all form part of the city's cohesive, unique urban fabric, now threatened by overpopulation.</p>";"<p>Au carrefour de plusieurs routes commerciales depuis le II<sup>e</sup> millénaire av. J.-C., Alep a successivement subi la domination des Hittites, des Assyriens, des Arabes, des Mongols, des Mamelouks et des Ottomans. Sa citadelle du XIII<sup>e</sup> siècle, sa Grande Mosquée du XII<sup>e</sup> siècle et plusieurs medersa, palais, caravansérails et hammams du XVII<sup>e</sup> siècle donnent au tissu urbain d'Alep un caractère harmonieux et unique, maintenant menacé par la surpopulation.</p>";;;1986;;1;;"Y 2013";37.16277778;36.19916667;364;0;0;1;1;0;0;0;0;0;0;(iii)(iv);Cultural;C;"Syrian Arab Republic";"République arabe syrienne";"Arab States";"États arabes";sy;syr;0;36.19916667,37.16277778;0;;
27;24;;"Nahanni National Park";"Parc national Nahanni";"<p>Located along the South Nahanni River, one of the most spectacular wild rivers in North America, this park contains deep canyons and huge waterfalls, as well as a unique limestone cave system. The park is also home to animals of the boreal forest, such as wolves, grizzly bears and caribou. Dall's sheep and mountain goats are found in the park's alpine environment.</p>";"<p>Situé le long de la Nahanni Sud, l'un des cours d'eau les plus spectaculaires d'Amérique du Nord, ce parc comporte de profonds canyons, de grandes cascades, ainsi qu'un ensemble unique de grottes karstiques. Le parc abrite, de plus, maintes espèces animales caractéristiques des forêts boréales comme le loup, le grizzli et le caribou. On trouve également le mouflon de Dall et la chèvre de montagne dans l'environnement alpin du parc.</p>";;;1978;;0;;;-125.5894444;61.54722222;476560;0;0;0;0;0;0;1;1;0;0;(vii)(viii);Natural;N;Canada;Canada;"Europe and North America";"Europe et Amérique du Nord";ca;can;0;61.54722222,-125.5894444;0;;
28;25;;"Djoudj National Bird Sanctuary";"Parc national des oiseaux du Djoudj";"<p>Situated in the Senegal River delta, the Djoudj Sanctuary is a wetland of 16,000 ha, comprising a large lake surrounded by streams, ponds and backwaters. It forms a living but fragile sanctuary for some 1.5 million birds, such as the white pelican, the purple heron, the African spoonbill, the great egret and the cormorant.</p>";"<p>Dans le delta du fleuve Sénégal, le parc est une zone humide de 16 000 ha comprenant un grand lac entouré de ruisseaux, d’étangs et de bras morts, qui constituent un sanctuaire vital, mais fragile, pour un million et demi d’oiseaux tels que le pélican blanc, le héron pourpre, la spatule africaine, la grande aigrette et le cormoran.</p>";;;1981;;0;1988;"P 1984-1988 P 2000-2006";-16.237906;16.414602;16000;0;0;0;0;0;0;1;0;0;1;(vii)(x);Natural;N;Senegal;Sénégal;Africa;Afrique;sn;sen;0;16.414602,-16.237906;0;;
29;26;;"Island of Gorée";"Île de Gorée";"<p>The island of Gor&eacute;e lies off the coast of Senegal, opposite Dakar. From the 15th to the 19th century, it was the largest slave-trading centre on the African coast. Ruled in succession by the Portuguese, Dutch, English and French, its architecture is characterized by the contrast between the grim slave-quarters and the elegant houses of the slave traders. Today it continues to serve as a reminder of human exploitation and as a sanctuary for reconciliation.</p>";"<p>Au large des c&ocirc;tes du S&eacute;n&eacute;gal, en face de Dakar, Gor&eacute;e a &eacute;t&eacute; du XV<sup>e</sup> au XIX<sup>e</sup> si&egrave;cle le plus grand centre de commerce d'esclaves de la c&ocirc;te africaine. Tour &agrave; tour sous domination portugaise, n&eacute;erlandaise, anglaise et fran&ccedil;aise, son architecture est caract&eacute;ris&eacute;e par le contraste entre les sombres quartiers des esclaves et les &eacute;l&eacute;gantes maisons des marchands d'esclaves. L'&icirc;le de Gor&eacute;e reste encore aujourd'hui un symbole de l'exploitation humaine et un sanctuaire pour la r&eacute;conciliation.</p>";;;1978;;0;;;-17.40083;14.66722;0;0;0;0;0;0;1;0;0;0;0;(vi);Cultural;C;Senegal;Sénégal;Africa;Afrique;sn;sen;0;14.66722,-17.40083;0;;
30;27;;"Mesa Verde National Park";"Parc national de Mesa Verde";"<p>A great concentration of ancestral Pueblo Indian dwellings, built from the 6th to the 12th century, can be found on the Mesa Verde plateau in south-west Colorado at an altitude of more than 2,600 m. Some 4,400 sites have been recorded, including villages built on the Mesa top. There are also imposing cliff dwellings, built of stone and comprising more than 100 rooms.</p>";"<p>Dans l'extrême sud-ouest de l'État du Colorado, le plateau de Mesa Verde, qui atteint plus de 2 600 m d'altitude, abrite une énorme concentration d'habitats indiens ancestraux dans des « pueblos » construits du VI<sup>e</sup> au XII<sup>e</sup> siècle. Les quelque 4 400 sites recensés comprennent des villages bâtis au sommet de la Mesa et des habitations aménagées sur les falaises, construites en pierre et pouvant comporter plus de 100 pièces.</p>";;;1978;;0;;;-108.4855556;37.26166667;21043;0;0;1;0;0;0;0;0;0;0;(iii);Cultural;C;"United States of America";"États-Unis d'Amérique";"Europe and North America";"Europe et Amérique du Nord";us;usa;0;37.26166667,-108.4855556;0;;
31;28;;"Yellowstone National Park";"Parc national de Yellowstone";"<p>The vast natural forest of Yellowstone National Park covers nearly 9,000 km<sup>2</sup> ; 96% of the park lies in Wyoming, 3% in Montana and 1% in Idaho. Yellowstone contains half of all the world's known geothermal features, with more than 10,000 examples. It also has the world's largest concentration of geysers (more than 300 geyers, or two thirds of all those on the planet). Established in 1872, Yellowstone is equally known for its wildlife, such as grizzly bears, wolves, bison and wapitis.</p>";"<p>La vaste forêt naturelle du parc national de Yellowstone couvre près de 9 000 km<sup>2</sup> , dont 96 % dans le Wyoming, 3 % dans le Montana et 1% dans l'Idaho. On trouve à Yellowstone plus de 10 000 caractéristiques thermales, soit plus de la moitié des phénomènes géothermiques du monde. Le parc possède également la plus forte concentration mondiale de geysers, 300 environ qui représentent les 2/3 des geysers de la planète. Créé en 1872, le parc est également connu pour sa faune sauvage qui comprend l'ours grizzli, le loup, le bison et le wapiti.</p>";;;1978;;0;2003;"P 1995-2003";-110.82778;44.46056;898349;0;0;0;0;0;0;1;1;1;1;(vii)(viii)(ix)(x);Natural;N;"United States of America";"États-Unis d'Amérique";"Europe and North America";"Europe et Amérique du Nord";us;usa;0;44.46056,-110.82778;0;;
34;31;;"Auschwitz Birkenau German Nazi Concentration and Extermination Camp (1940-1945)";"Auschwitz BirkenauCamp allemand nazi de concentration et d'extermination (1940-1945)";"<p>The fortified walls, barbed wire, platforms, barracks, gallows, gas chambers and cremation ovens show the conditions within which the Nazi genocide took place in the former concentration and extermination camp of Auschwitz-Birkenau, the largest in the Third Reich. According to historical investigations, 1.5 million people, among them a great number of Jews, were systematically starved, tortured and murdered in this camp, the symbol of humanity's cruelty to its fellow human beings in the 20th century.</p>";"<p>Les enceintes, les barbelés, les miradors, les baraquements, les potences, les chambres à gaz et les fours crématoires de l'ancien camp de concentration et d'extermination d'Auschwitz-Birkenau, le plus vaste du III<sup>e</sup> Reich, attestent les conditions dans lesquelles fonctionnait le génocide hitlérien. Selon des recherches historiques, 1,1 à 1,5 million de personnes – dont de très nombreux Juifs – furent systématiquement affamées, torturées et assassinées dans ce camp, symbole de la cruauté de l'homme pour l'homme au XX<sup>e</sup> siècle.</p>";;;1979;;0;;;19.175;50.03888889;191.97;0;0;0;0;0;1;0;0;0;0;(vi);Cultural;C;Poland;Pologne;"Europe and North America";"Europe et Amérique du Nord";pl;pol;0;50.03888889,19.175;0;000;
38;34;;"Forts and Castles, Volta, Greater Accra, Central and Western Regions";"Forts et châteaux de Volta, d'Accra et ses environs et des régions centrale et ouest";"<p>The remains of fortified trading-posts, erected between 1482 and 1786, can still be seen along the coast of Ghana between Keta and Beyin. They were links in the trade routes established by the Portuguese in many areas of the world during their era of great maritime exploration.</p>";"<p>Sur la côte ghanéenne, entre Keta et Beyin, ces comptoirs fortifiés fondés entre 1482 et 1786 sont les vestiges des itinéraires commerciaux que les Portugais avaient créés à travers le monde à l'époque de leurs grandes découvertes maritimes.</p>";;;1979;;0;;;-0.49361;5.39103;0;0;0;0;0;0;1;0;0;0;0;(vi);Cultural;C;Ghana;Ghana;Africa;Afrique;gh;gha;0;5.39103,-0.49361;0;;
39;35;;"Asante Traditional Buildings";"Bâtiments traditionnels ashanti";"<p>To the north-east of Kumasi, these are the last material remains of the great Asante civilization, which reached its high point in the 18th century. Since the dwellings are made of earth, wood and straw, they are vulnerable to the onslaught of time and weather.</p>";"<p>Au nord-est de Koumassi subsistent les derniers t&eacute;moins mat&eacute;riels de la grande civilisation des Ashantis qui connut son apog&eacute;e au XVIII<sup>e</sup> si&egrave;cle. Les maisons de bois, de terre et de chaume sont peu &agrave; peu menac&eacute;es de destruction sous l'effet du temps et du climat.</p>";;;1980;;0;;;-1.625833333;6.401111111;0;0;0;0;0;1;0;0;0;0;0;(v);Cultural;C;Ghana;Ghana;Africa;Afrique;gh;gha;0;6.401111111,-1.625833333;0;;
41;37;;"Archaeological Site of Carthage";"Site archéologique de Carthage";"<p>Carthage was founded in the 9th century B.C. on the Gulf of Tunis. From the 6th century onwards, it developed into a great trading empire covering much of the Mediterranean and was home to a brilliant civilization. In the course of the long Punic wars, Carthage occupied territories belonging to Rome, which finally destroyed its rival in 146 B.C. A second – Roman – Carthage was then established on the ruins of the first.</p>";"<p>Fondée dès le IX<sup>e</sup> siècle av. J.-C. sur le golfe de Tunis, Carthage établit à partir du VI<sup>e</sup> siècle un empire commercial s'étendant à une grande partie du monde méditerranéen et fut le siège d'une brillante civilisation. Au cours des longues guerres puniques, elle occupa des territoires de Rome, mais celle-ci la détruisit finalement en 146 av. J.-C. Une seconde Carthage, romaine celle-là, fut alors fondée sur ses ruines.</p>";;;1979;;0;;;10.32333;36.85278;498.08;0;1;1;0;0;1;0;0;0;0;(ii)(iii)(vi);Cultural;C;Tunisia;Tunisie;"Arab States";"États arabes";tn;tun;0;36.85278,10.32333;0;000;
46;42;;"Boyana Church";"Église de Boyana";"<p>Located on the outskirts of Sofia, Boyana Church consists of three buildings. The eastern church was built in the 10th century, then enlarged at the beginning of the 13th century by Sebastocrator Kaloyan, who ordered a second two storey building to be erected next to it. The frescoes in this second church, painted in 1259, make it one of the most important collections of medieval paintings. The ensemble is completed by a third church, built at the beginning of the 19th century. This site is one of the most complete and perfectly preserved monuments of east European medieval art.</p>";"<p>Située à la périphérie de Sofia, l’église de Boyana se compose de trois bâtiments. L’église de l’Est a été construite au Xe siècle. Au milieu du XIIIe siècle, Sebastocrator Kaloyan a agrandi l’église et a demandé que l’on construise un second bâtiment de deux étages à côté de l’ancien. Ses fresques, peintes en 1259, constituent l’une des plus importantes collections de peintures médiévales. L’ensemble est complété par une troisième église, édifiée au début du XIXe siècle. Ce site comprend les monuments les plus parfaits et les mieux conservés de l’art médiéval d’Europe de l’Est.</p>";;;1979;;0;;;23.26618278;42.64463194;0.68;0;1;1;0;0;0;0;0;0;0;(ii)(iii);Cultural;C;Bulgaria;Bulgarie;"Europe and North America";"Europe et Amérique du Nord";bg;bgr;0;42.64463194,23.26618278;0;;
47;43;;"Madara Rider";"Cavalier de Madara";"<p>The Madara Rider, representing the figure of a knight triumphing over a lion, is carved into a 100-m-high cliff near the village of Madara in north-east Bulgaria. Madara was the principal sacred place of the First Bulgarian Empire before Bulgaria’s conversion to Christianity in the 9th century. The inscriptions beside the sculpture tell of events that occurred between AD 705 and 801.</p>";"<p>Le Cavalier de Madara, représentant un cavalier vainqueur d’un lion, est sculpté sur une falaise de 100 m de haut, près du village de Madara, dans le nord-est de la Bulgarie. Madara a été le premier lieu sacré du premier Empire bulgare, avant la conversion de la Bulgarie au IXe siècle. Les inscriptions qui figurent à côté de cette sculpture relatent des événements survenus entre 705 et 831.</p>";;;1979;;0;;;27.118894;43.277375;1.2;1;0;1;0;0;0;0;0;0;0;(i)(iii);Cultural;C;Bulgaria;Bulgarie;"Europe and North America";"Europe et Amérique du Nord";bg;bgr;0;43.277375,27.118894;0;;
48;44;;"Thracian Tomb of Kazanlak";"Tombe thrace de Kazanlak";"<p>Discovered in 1944, this tomb dates from the Hellenistic period, around the end of the 4th century BC. It is located near Seutopolis, the capital city of the Thracian king Seutes III, and is part of a large Thracian necropolis. The tholos has a narrow corridor and a round burial chamber, both decorated with murals representing Thracian burial rituals and culture. These paintings are Bulgaria’s best-preserved artistic masterpieces from the Hellenistic period.</p>";"<p>Découvert en 1944, ce tombeau date de la période hellénistique, vers la fin du IVe siècle av. J.-C. Il est situé près de Seutopolis – capitale du roi thrace Seutes III – et fait partie d’une grande nécropole thrace. Le tholos comprend un étroit corridor et une chambre funéraire ronde, tous deux décorés de peintures murales représentant les rites funéraires et la culture thrace. Ces peintures sont les chefs-d’œuvre artistiques les mieux préservés de la période hellénistique en Bulgarie.</p>";;;1979;;0;;;25.399172;42.625774;0.0155;1;0;1;1;0;0;0;0;0;0;(i)(iii)(iv);Cultural;C;Bulgaria;Bulgarie;"Europe and North America";"Europe et Amérique du Nord";bg;bgr;0;42.625774,25.399172;0;;
49;45;;"Rock-Hewn Churches of Ivanovo";"Églises rupestres d'Ivanovo";"<p>In the valley of the Roussenski Lom River, in north east Bulgaria, a complex of rock-hewn churches, chapels, monasteries and cells developed in the vicinity of the village of Ivanovo. This is where the first hermits had dug out their cells and churches during the 12th century. The 14th-century murals testify to the exceptional skill of the artists belonging to the Tarnovo School of painting.</p>";"<p>Dans la vallée de la Roussenki Lom, au nord-est de la Bulgarie, un ensemble d’églises, de chapelles, de monastères et de cellules creusés dans le roc s’est développé à proximité du village d’Ivanovo. C’est là que les premiers ermites ont creusé leurs cellules et leurs églises au XIIe siècle. Les peintures murales qui datent du XIVe siècle témoignent d’une technique artistique exceptionnelle caractéristique de l’école de peinture de Tarnovo.</p>";;;1979;;0;;;25.987893;43.694858;171.9;0;1;1;0;0;0;0;0;0;0;(ii)(iii);Cultural;C;Bulgaria;Bulgarie;"Europe and North America";"Europe et Amérique du Nord";bg;bgr;0;43.694858,25.987893;0;;
62;58;;"Urnes Stave Church";"« Stavkirke » d’Urnes";"<p>The wooden church of Urnes (the <em>stavkirke</em>) stands in the natural setting of Sogn og Fjordane. It was built in the 12th and 13th centuries and is an outstanding example of traditional Scandinavian wooden architecture. It brings together traces of Celtic art, Viking traditions and Romanesque spatial structures.</p>";"<p>C'est dans le cadre naturel du Sogn og Fjordane que s'élève un chef-d'œuvre de l'architecture de bois des pays scandinaves : l'église à piliers de bois (ou « stavkirke ») d'Urnes, construite aux XII<sup>e</sup> et XIII<sup>e</sup> siècles. On peut y distinguer à la fois des réminiscences de l'art celtique, des traditions vikings et des structures spatiales romanes.</p>";;;1979;;0;;;7.323;61.298;0.21;1;1;1;0;0;0;0;0;0;0;(i)(ii)(iii);Cultural;C;Norway;Norvège;"Europe and North America";"Europe et Amérique du Nord";no;nor;0;61.298,7.323;0;;
63;59;;Bryggen;"Quartier de « Bryggen » dans la ville de Bergen";"<p>Bryggen, the old wharf of Bergen, is a reminder of the town’s importance as part of the Hanseatic League’s trading empire from the 14th to the mid-16th century. Many fires, the last in 1955, have ravaged the characteristic wooden houses of Bryggen. Its rebuilding has traditionally followed old patterns and methods, thus leaving its main structure preserved, which is a relic of an ancient wooden urban structure once common in Northern Europe. Today, some 62 buildings remain of this former townscape.</p>";"<p>Bryggen, le vieux quai de Bergen rappelle l’importance de la ville comme élément de l’empire commercial de la Ligue hanséatique, du XIVe siècle au milieu du XVIe siècle. De nombreux incendies, dont le dernier en 1955, ont ravagé les maisons typiques en bois de Bryggen. Sa reconstruction a traditionnellement repris les anciennes méthodes et modèles, (ainsi en laissant)sa structure principale a été préservée, qui est une relique d’une ancienne structure urbaine en bois autrefois commune dans le nord de l’Europe. Aujourd’hui, environ 62 immeubles persistent dans cet ancien townscape.</p>";;;1979;;0;;;5.32306;60.39722;1.196;0;0;1;0;0;0;0;0;0;0;(iii);Cultural;C;Norway;Norvège;"Europe and North America";"Europe et Amérique du Nord";no;nor;0;60.39722,5.32306;0;000;
67;63;;"Virunga National Park";"Parc national des Virunga";"<p>Virunga National Park (covering an area of 790,000 ha) comprises an outstanding diversity of habitats, ranging from swamps and steppes to the snowfields of Rwenzori at an altitude of over 5,000 m, and from lava plains to the savannahs on the slopes of volcanoes. Mountain gorillas are found in the park, some 20,000 hippopotamuses live in the rivers and birds from Siberia spend the winter there.</p>";"<p>S'étendant sur 790 000 ha, le parc des Virunga présente une diversité d'habitats incomparable, allant des marécages et des steppes jusqu'aux neiges éternelles du Rwenzori, à plus de 5 000 m d'altitude, en passant par les plaines de lave et les savanes sur les pentes des volcans. Quelque 20 000 hippopotames fréquentent ses rivières, le gorille de montagne y trouve refuge, et des oiseaux en provenance de Sibérie viennent y passer l'hiver.</p>";;;1979;;1;;"Y 1994";29.16666667;0.916666667;800000;0;0;0;0;0;0;1;1;0;1;(vii)(viii)(x);Natural;N;"Democratic Republic of the Congo";"République démocratique du Congo";Africa;Afrique;cd;cod;0;0.916666667,29.16666667;0;;
